Date,Open,High,Low,Close,Volume
2020.05.11,22:05,18.39285,18.41145,18.39185,18.39805,387
2020.05.11,23:05,18.39795,18.40816,18.38560,18.38926,1454
2020.05.12,00:00,18.38763,18.40937,18.38762,18.40791,585
2020.05.12,01:00,18.40729,18.48798,18.40133,18.45861,1532
2020.05.12,02:00,18.45892,18.46052,18.42181,18.45609,1192
2020.05.12,03:00,18.45609,18.47176,18.44395,18.44482,590
2020.05.12,04:00,18.44442,18.45201,18.43805,18.43805,680
2020.05.12,05:00,18.43795,18.44361,18.42985,18.43985,941
2020.05.12,06:00,18.43865,18.44519,18.39965,18.40887,2022
2020.05.12,07:00,18.40940,18.52316,18.40935,18.47855,2602
2020.05.12,08:00,18.48185,18.50240,18.40967,18.46294,4304
2020.05.12,09:00,18.46278,18.46875,18.35229,18.36732,3458
2020.05.12,10:00,18.36532,18.39330,18.34084,18.34749,3039
2020.05.12,11:00,18.34757,18.34862,18.26515,18.27211,2934
2020.05.12,12:00,18.27201,18.27900,18.18533,18.19470,3281
2020.05.12,13:00,18.19465,18.21620,18.17041,18.20711,4614
2020.05.12,14:00,18.20705,18.32199,18.20309,18.27166,5701
2020.05.12,15:00,18.27176,18.28645,18.21544,18.23375,5579
2020.05.12,16:00,18.23375,18.29444,18.21811,18.28546,4936
2020.05.12,17:00,18.28563,18.33443,18.28560,18.29342,3551
2020.05.12,18:00,18.29323,18.37228,18.28925,18.30504,3122
2020.05.12,19:00,18.30504,18.36264,18.28457,18.35452,4052
2020.05.12,20:00,18.35452,18.42005,18.34999,18.37882,3710
2020.05.12,21:00,18.37882,18.45431,18.37865,18.44945,1259
2020.05.12,22:05,18.42680,18.43010,18.41570,18.42050,539
2020.05.12,23:05,18.42040,18.42676,18.40838,18.42378,2140
2020.05.13,00:00,18.42643,18.43130,18.41270,18.41420,386
2020.05.13,01:00,18.41154,18.46541,18.40858,18.41166,1394
2020.05.13,02:00,18.41185,18.42428,18.40786,18.41694,2752
2020.05.13,03:00,18.41716,18.42249,18.38435,18.38638,1169
2020.05.13,04:00,18.38675,18.39045,18.37922,18.38919,875
2020.05.13,05:00,18.38685,18.39008,18.36230,18.36493,2221
2020.05.13,06:00,18.36423,18.37489,18.30875,18.36642,2307
2020.05.13,07:00,18.36702,18.41383,18.34555,18.41383,2372
2020.05.13,08:00,18.41385,18.53467,18.40160,18.47276,4788
2020.05.13,09:00,18.47347,18.52353,18.42828,18.47842,5203
2020.05.13,10:00,18.47851,18.50780,18.40716,18.42422,4949
2020.05.13,11:00,18.42527,18.42629,18.34767,18.37022,3915
2020.05.13,12:00,18.37000,18.39856,18.28686,18.28877,4095
2020.05.13,13:00,18.28885,18.34084,18.26975,18.27040,6540
2020.05.13,14:00,18.27072,18.41335,18.25637,18.37345,9332
2020.05.13,15:00,18.37405,18.46559,18.33769,18.45661,7465
2020.05.13,16:00,18.45655,18.55755,18.41887,18.52814,7891
2020.05.13,17:00,18.52822,18.55834,18.50588,18.54335,7593
2020.05.13,18:00,18.54240,18.55055,18.50942,18.53831,3902
2020.05.13,19:00,18.53818,18.59267,18.53722,18.58881,4882
2020.05.13,20:00,18.59085,18.59225,18.50449,18.50544,3943
2020.05.13,21:00,18.50524,18.52334,18.48825,18.49314,1070
2020.05.13,22:05,18.49080,18.53632,18.49080,18.51577,309
2020.05.13,23:05,18.51552,18.52069,18.49640,18.49917,2381
2020.05.14,00:00,18.49784,18.50545,18.48225,18.49225,2635
2020.05.14,01:00,18.49225,18.52962,18.49150,18.50457,3653
2020.05.14,02:00,18.50452,18.54402,18.49933,18.54402,2162
2020.05.14,03:00,18.54432,18.55042,18.51685,18.51954,1747
2020.05.14,04:00,18.51912,18.52752,18.48578,18.49005,7681
2020.05.14,05:00,18.49288,18.50251,18.48142,18.50072,1077
2020.05.14,06:00,18.50038,18.50859,18.46605,18.49049,3353
2020.05.14,07:00,18.49049,18.60167,18.48615,18.56306,4136
2020.05.14,08:00,18.56262,18.57475,18.46407,18.55097,5067
2020.05.14,09:00,18.55095,18.59384,18.53116,18.56712,4785
2020.05.14,10:00,18.56775,18.57311,18.50915,18.51164,4144
2020.05.14,11:00,18.51166,18.68190,18.51126,18.66810,6511
2020.05.14,12:00,18.66820,18.73073,18.63393,18.65902,5832
2020.05.14,13:00,18.65925,18.73715,18.65464,18.70626,6655
2020.05.14,14:00,18.70797,18.75418,18.68912,18.70292,6749
2020.05.14,15:00,18.70325,18.71596,18.57490,18.60761,8454
2020.05.14,16:00,18.60823,18.62601,18.53536,18.57483,6510
2020.05.14,17:00,18.57498,18.60083,18.55712,18.57205,4157
2020.05.14,18:00,18.57165,18.57925,18.52004,18.56602,3033
